GeneID	control	control	control	perturbed	perturbed	perturbed
55300	3816	2754	4839	6286	6707	4666
259282	5534	2381	6822	13492	12859	9504
27430	6770	5357	8180	8229	8323	6076
7092	0	0	0	2	1	1
23644	3150	4170	5109	5940	6491	5783
7204	27820	14382	37648	41167	39358	32326
1462	10	7	6	58	49	58
23274	1234	1265	1816	2213	2104	1675
4481	2	2	1	142	161	114
999	667	467	753	0	0	0
23517	2778	2212	3573	4909	4994	3558
1767	1203	1185	1523	438	410	281
9765	2897	1323	3903	12141	13450	9386
79567	7124	9157	11730	12337	13680	11760
729	0	0	0	0	1	0
26064	10668	7228	13477	40999	42209	29674
11063	4	0	2	3	1	0
11284	1451	2679	2554	1858	2067	2007
54831	1	0	0	0	1	2
23035	1287	788	1622	2900	2951	2078
54908	7435	6378	9448	7429	7974	5755
27067	2335	1422	2984	2899	3108	2088
54896	1145	2156	1758	2251	2287	2323
1497	1508	2112	2199	3545	3870	3225
65078	38	110	109	12	5	14
79142	3855	5320	4951	6911	7339	5833
1008	0	0	0	16	8	10
3631	2579	1721	3533	5575	5743	4433
5874	3115	1601	3776	992	966	691
5685	8378	12411	10430	13585	13828	10501
23026	36	26	50	212	223	184
55341	2394	2380	3018	4793	5226	3662
10039	1359	1722	1970	2730	2819	2513
3371	5268	4199	7028	53760	57560	45003
90326	736	1512	1153	1012	979	913
140876	84	117	149	95	100	93
55775	3067	3030	3881	4388	4917	3475
84883	3032	4452	4071	3117	3180	2654
56918	0	1	0	4	0	0
55812	581	625	742	701	760	602
9440	3894	3604	4957	5678	5959	4388
54884	5710	5805	7613	5058	5224	4143
822	18260	34924	26206	28702	29202	27996
1175	7105	14192	9596	10413	11146	9894
7399	0	0	2	20	16	15
11055	0	0	0	0	0	0
7038	4	7	4	8	4	9
10863	755	517	1010	493	469	375
8538	0	1	5	26	21	14
54165	2622	1834	3246	5340	6066	3847
23338	5186	5194	7405	5080	5260	4171
7546	344	486	477	1566	1577	1150
3937	0	0	0	2	0	3
54802	1547	1794	2040	1832	1989	1575
153	0	1	3	34	31	30
2981	0	0	0	0	0	0
9820	5887	6783	8882	8254	9196	7692
1495	47737	44994	62535	55979	57393	42559
5256	1926	1973	2765	3951	4425	3751
54875	0	0	0	1	1	0
2042	0	1	1	80	71	76
3309	75967	92410	101321	168189	167940	131349
1829	16443	7068	20980	31685	34175	23967
54960	741	991	968	874	956	769
8481	2643	2674	3947	4057	4638	3748
2824	3	0	0	7	0	1
51438	22	30	37	20	27	23
80243	0	0	0	0	0	0
22884	1258	1115	1688	2515	2598	2058
64848	3163	1893	4120	6684	7194	5252
56474	1630	1576	2162	3327	3122	2551
51606	2829	3691	3754	4510	4635	3678
5431	14087	11257	17874	18297	19132	13559
56204	632	397	711	1778	1706	1302
116984	297	196	395	1683	1736	1186
7175	14456	9856	18666	25779	25096	18990
1356	1	3	4	24	34	16
23247	1032	920	1441	1773	1962	1656
84062	1434	2376	1935	1298	1282	1061
7504	49	39	56	127	120	78
57101	46	67	57	0	0	0
57102	1422	1362	1964	3086	3123	2189
6322	2285	1455	2920	4490	4843	3660
55841	8852	7445	12135	9554	9456	7877
395	0	0	0	10	9	6
27146	3	7	9	7	7	5
4134	41430	35985	55793	31523	33031	24962
57120	2607	1838	3360	5524	5659	4055
6098	2	0	3	8	5	5
57646	6161	3779	7739	7947	8358	5955
9734	7002	3186	8632	5613	5934	4000
26262	4349	7331	6572	7365	7827	6417
51491	1802	3115	2427	1938	2183	1758
57545	1128	1055	1449	3473	3565	2526
50484	2439	1381	2953	3795	3967	2783
168850	1309	719	1579	1759	1789	1314
608	1	1	0	2	2	0
92017	786	465	975	3214	2963	2241
55885	0	0	0	0	5	0
