GeneID	perturbed	perturbed	perturbed	control	control
27175	728	643	761	552	788
51121	2031	2019	1332	1291	1249
2324	1116	990	759	585	785
54888	10491	9687	10877	14452	12864
54455	2931	2666	2717	2670	2480
4238	2344	2067	2675	3307	3051
84245	725	702	814	854	948
4234	1798	1671	1289	1247	1180
3224	0	0	0	0	0
175	912	912	451	482	487
55300	1637	1514	1419	2124	2426
259282	1812	1712	4260	7892	8473
27430	6183	5780	4939	6006	6105
7092	53	59	46	40	33
23644	8193	7839	7936	7546	8097
7204	5350	4869	7467	7701	7485
1462	29705	27369	46587	63192	59027
23274	1523	1578	1743	1581	1757
4481	2	0	3	2	0
999	9846	9015	21944	19411	21043
23517	9002	8225	7794	11497	12398
1767	133	137	58	130	75
9765	1141	1024	1273	2152	2224
79567	839	742	888	933	971
729	0	0	0	5	0
26064	11020	10205	10071	16350	14309
11063	63	48	51	30	32
11284	3107	3021	2958	2357	2836
54831	123	117	127	110	141
23035	1882	1697	2688	2214	3055
54908	4085	3704	2555	6815	5981
27067	4614	3999	3940	4460	5010
54896	1476	1286	1466	1291	1194
1497	952	895	1183	1235	1169
65078	2334	2422	1874	1442	1764
79142	6370	6086	5810	5651	4577
1008	37	23	13	10	3
3631	3002	2626	3489	3135	3794
5874	27	19	22	29	43
5685	22340	20777	15427	15670	15676
23026	1	3	11	23	4
55341	7687	6876	7063	8078	8383
10039	201	195	144	207	158
3371	1631	1425	4847	6248	3552
90326	800	790	771	679	766
140876	176	206	313	181	276
55775	6258	5572	5277	4801	5529
84883	1417	1442	959	955	863
55812	601	615	490	512	650
9440	2420	2327	2420	2865	2409
54884	1068	1020	1332	1383	1433
822	4873	4635	4952	3966	4285
1175	11153	10640	8385	6874	6946
7399	26	14	17	25	19
11055	0	0	0	0	0
7038	0	3	3	4	1
10863	42	44	21	60	35
8538	0	1	1	3	0
54165	2220	2013	2336	3699	3514
23338	4709	4419	5539	6463	4267
7546	5922	5310	6148	6757	6503
3937	53	51	27	46	33
54802	2557	2280	1270	1342	1517
153	10	7	4	11	16
2981	0	0	0	0	0
9820	2950	2849	3018	2223	3015
1495	45473	41864	41724	38169	41305
5256	3202	2954	5085	5372	5782
54875	1363	1303	1196	1625	1804
2042	41	28	5	14	6
3309	42554	39108	55595	68211	63678
1829	13921	12647	19933	23851	25457
54960	1270	1188	1819	1446	2071
8481	1315	1317	1645	2961	2597
2824	7885	7145	12555	14473	16351
51438	5	0	0	0	0
80243	2239	1899	3815	3682	5638
22884	1319	1145	1530	1472	1374
64848	3276	3022	3413	4600	5527
56474	8931	8005	9750	9979	10537
51606	2520	2435	2582	2140	2183
5431	16251	15064	16130	19694	20586
56204	243	216	566	662	677
116984	102	101	100	201	140
7175	8018	7377	10615	20881	21271
1356	67	56	59	96	86
23247	1622	1568	1893	1656	2031
84062	902	848	712	625	708
7504	180	164	190	336	227
57101	331	307	248	141	175
57102	922	893	980	1193	1001
6322	178	231	333	384	492
55841	4193	3905	4944	4155	4507
395	76	68	136	110	222
27146	66	65	37	60	69
4134	27230	24801	32754	28850	31365
57120	1669	1488	2142	3488	3751
6098	0	0	0	0	0
57646	9149	8441	10583	10798	11139
9734	747	710	520	753	536
