GeneID	control	control	control	control	control	perturbed	perturbed	perturbed	perturbed	perturbed
11183	6172	5420	6186	11884	11337	3942	4018	4756	6110	4371
30845	1734	1188	1363	1154	1358	2085	1922	3269	1038	807
5704	6061	4847	5539	8831	8454	7226	6507	8478	9620	7723
23324	3488	2743	3645	4356	4277	2945	2746	3406	3090	1869
57709	3	7	3	214	206	4	8	6	103	80
5010	1806	1572	1623	10070	8035	3939	3750	4266	7440	5763
51629	4299	3408	4030	4765	4502	3152	2667	3558	2911	2087
9961	11982	9202	10989	11161	11180	13002	10898	13954	11885	7436
51667	2910	2611	2953	4693	4373	6167	6023	7329	8494	6768
5238	23699	21732	22334	23014	24405	18890	17902	21057	19969	14823
112611	852	777	813	805	776	519	490	567	577	432
1195	2877	2680	2713	4592	4307	2786	2773	3434	3745	2744
55703	1272	1090	1288	1189	1042	1230	1161	1536	790	574
23357	339	286	265	386	353	348	322	457	283	248
9604	5238	4666	5041	6296	6222	4345	3863	4844	4842	3438
1774	1486	1210	1313	2162	1830	1257	1181	1703	1227	858
1663	545	529	564	469	461	729	705	843	864	614
50865	376	286	394	1923	1657	437	490	605	1242	1434
9052	71	94	98	207	218	166	165	203	463	389
10046	156	133	184	243	212	133	135	181	234	174
923	0	0	1	0	0	0	0	1	1	0
10460	252	177	206	197	183	204	196	244	224	183
23376	4447	4349	4715	6043	5920	4810	4551	4844	4655	3700
23649	77	57	66	93	85	112	108	165	158	126
23144	360	275	281	315	302	285	226	310	381	292
823	3650	2668	3334	5093	4780	2721	2467	3290	3975	2789
55	40	32	26	48	45	88	71	110	191	189
4190	7160	6204	6567	9557	9447	9288	8529	10855	9875	7644
10463	6647	6124	6414	7180	6805	6526	6121	7040	5858	4347
10903	314	199	230	562	674	652	650	936	690	538
1355	1268	1023	1232	1718	1660	1299	1218	1759	1458	1091
440193	4	6	3	27	48	48	25	44	46	38
10138	797	743	842	1173	1130	1099	953	1109	1231	1016
10771	5926	5452	5950	6897	6962	4817	4357	5330	5169	3565
7454	3	2	8	7	5	4	3	8	6	3
1800	134	92	123	24	18	56	51	90	25	9
637	1367	1205	1248	2548	2277	1738	1439	2020	3128	2241
9782	848	824	800	954	930	852	862	1046	1108	671
29881	0	1	1	5	2	2	1	1	2	5
64132	1332	1086	1299	934	966	1467	1173	1645	1163	769
84220	51	41	53	120	113	43	37	50	81	60
81551	0	0	0	0	2	0	0	0	0	1
23386	3853	3203	3740	3807	3987	4285	3874	5200	4369	2883
3670	0	0	0	0	0	0	2	1	3	2
55349	5	3	2	0	0	0	1	5	5	1
53832	4	0	2	9	1	2	0	0	5	4
1179	0	0	0	0	0	0	0	0	0	0
22802	0	1	0	0	0	0	0	0	0	0
55830	6582	5586	5850	5839	5555	4284	4228	5197	3853	2690
27032	5723	5073	5758	8560	8201	5187	4712	6351	7391	5670
3479	861	718	846	1146	1114	202	173	228	141	117
92745	4	9	11	10	9	17	14	32	29	9
10928	4857	4068	4496	5659	5694	4058	3708	5178	4970	3661
22902	2896	2399	2774	3301	3234	2794	2744	3437	2936	2106
1272	10	5	17	23	14	5	7	10	9	11
6556	14	6	11	11	14	5	8	14	9	11
25937	4976	4207	5398	17295	16360	4915	4920	5842	8149	5908
8540	10745	9898	10742	13601	13238	10147	10086	11217	8718	6414
63932	936	849	917	1573	1632	1281	1122	1433	1775	1211
477	26	15	25	10	1	16	18	19	2	3
55622	1570	1421	1474	1721	1741	2006	1896	2362	1639	1416
147948	247	214	269	382	362	253	249	321	384	322
23584	11	1	2	0	2	2	3	4	2	0
23187	8532	6925	8994	17089	18394	7812	7481	8734	14136	9278
8685	4	3	8	23	21	14	9	14	8	11
1591	0	0	0	5	4	3	7	11	86	62
56981	238	170	213	513	543	192	160	229	431	266
57586	0	0	0	0	0	0	0	0	0	0
6591	5735	5095	5672	8914	8319	7808	7486	10198	8496	6948
972	6	9	11	18	12	83	66	65	48	50
3082	1175	816	857	8006	7143	2241	2148	3315	5812	4940
54764	3300	2944	3237	3479	3482	2947	2844	3399	3310	2596
23154	1050	854	980	1421	1362	972	927	1166	1473	1073
25960	12781	9793	12745	14653	14615	11908	11062	13590	15650	9567
155100	1	0	0	6	4	0	0	0	2	4
55734	703	553	650	519	464	605	538	687	546	438
4331	2334	1925	1924	2012	2062	2136	1968	2227	1277	1125
23034	2193	1898	2299	5933	6574	2125	2141	2813	6146	4074
864	18	16	24	47	38	48	53	44	92	63
4361	917	814	888	1310	1303	916	832	992	1036	779
58473	46	17	36	14	22	6	4	10	5	10
1992	970	809	868	572	471	977	937	1275	883	740
64816	0	0	0	1	0	0	0	0	0	0
11136	1	3	2	6	6	5	3	7	7	4
6683	1665	1578	1646	1565	1589	1378	1348	1657	1158	981
9369	7	2	1	33	18	2	5	2	73	57
114879	2940	2439	3213	3139	2933	2153	1802	2309	2234	1339
9716	4304	3704	4182	7362	7327	4691	4815	5871	5872	4389
1373	1195	1096	1271	1719	1592	1497	1573	1870	1373	1007
732	548	386	454	44	43	385	335	434	63	56
2273	5250	4053	4514	15449	15925	1868	1851	2687	6995	4463
51507	5845	4896	5285	7594	7371	5181	4756	5944	6767	5420
2554	0	0	0	1	1	1	2	0	0	0
55655	0	3	2	4	2	4	2	0	21	15
57210	241	199	265	102	100	211	211	247	154	77
9921	5640	4704	5428	6091	5859	4235	4106	4870	4797	3496
55778	561	480	545	617	656	547	469	607	670	416
64429	2261	2027	2150	1894	1906	1991	1861	2212	1622	1213
57476	83	74	92	157	177	65	92	159	327	259
6050	26431	20256	23424	21749	21984	15247	12448	16784	16414	10828
4719	9223	7609	7822	9948	10324	8576	7964	10091	8358	6127
9821	6779	6015	6641	8062	7641	6076	6248	7091	6698	5025
23071	3532	3102	3530	5210	4741	5493	5163	6246	5486	4333
211	2840	2391	2691	3394	3271	3345	3019	4198	5419	4192
330	35	38	59	350	348	557	569	802	1709	1953
11215	2620	2445	2850	4371	4052	3393	3253	4240	3834	3047
51022	2035	1838	1886	1889	1995	1520	1304	1612	1053	919
6617	1603	1516	1605	2637	2499	1330	1354	1569	2198	1783
51071	3239	2695	2756	2144	2115	2146	2061	2529	1931	1513
11171	8983	7558	8073	4419	4032	6290	5021	6527	3217	2126
1244	93	49	54	216	212	144	178	219	240	234
50619	11	12	9	40	38	37	38	50	27	32
51177	4056	3188	3408	1662	1656	3458	3059	4398	2213	1656
2730	6216	5673	5876	6279	6047	8749	8154	8019	7128	5638
23304	5269	4272	4822	5024	5041	4997	4981	6317	5245	3849
30846	1355	1066	1495	1705	1432	919	960	994	1787	1177
55635	33	41	40	22	17	23	26	21	6	4
25901	509	412	485	493	452	725	641	757	714	407
58528	20	20	19	19	24	18	18	16	11	20
3298	904	754	808	571	524	611	520	701	444	370
51230	4967	4277	4958	6822	6664	3279	3071	3797	5106	3617
8630	457	292	390	192	229	22	41	40	111	82
10062	751	682	728	712	580	709	652	918	926	550
1890	4428	3530	3854	4489	4047	13431	11116	14417	17028	12109
29781	2192	1644	1886	1927	1976	1631	1420	1942	1772	1171
10953	2145	1678	2022	3911	3701	2462	2318	3246	3990	3213
11231	5359	4612	5618	5967	5397	3544	3991	4713	4339	3476
23633	5715	4590	5654	9414	9552	5804	5873	7403	10065	7419
7431	145614	129795	151484	249150	260009	116367	108016	127885	162942	117475
100533107	43	23	74	41	44	61	73	90	50	42
355	5445	5168	5375	12046	11591	10424	9697	12506	15758	12440
8635	843	684	807	1768	1733	1695	1467	1942	1454	1043
960	10990	9725	11153	30202	28477	26604	27674	31957	48415	40158
3755	1215	974	1069	698	701	2726	2308	2488	2787	2398
56895	1290	927	1267	657	672	1261	1189	1572	937	651
57823	0	0	0	0	0	0	0	0	0	0
11119	575	450	569	656	622	3340	3202	4217	2717	2318
4285	815	627	714	737	740	992	913	1266	758	580
5583	155	121	151	206	233	114	97	135	213	174
3645	4	3	3	9	9	5	7	9	4	2
3459	4971	4171	4371	6966	6160	4232	3961	5335	6924	5104
11285	2509	1989	2216	2699	2415	1722	1412	1771	2194	1321
9047	3	4	4	11	18	15	10	18	11	16
7444	1571	1432	1471	2124	2083	3160	3076	3279	2518	2045
7133	86	82	77	73	73	439	456	690	453	369
55591	4733	4043	4557	4070	4148	3801	3625	4780	3361	2740
5452	319	269	329	891	869	768	877	1056	2176	1949
65980	1714	1589	1660	1875	1818	2013	1822	2219	2011	1413
6642	3490	2730	2984	5931	5534	3792	3346	4582	4848	3577
9519	1601	1469	1495	2195	1988	1895	1821	2150	2141	1710
56938	1033	935	1059	932	1088	1426	1443	1842	1328	1141
9774	10736	9250	10007	13767	14085	9716	9294	11622	11885	9736
55334	12850	10992	11663	14530	14944	11115	10259	12588	14707	10493
286	21	18	19	288	279	59	43	54	364	292
3381	3	1	0	4	0	0	0	0	6	2
51106	741	625	698	797	730	816	790	1007	905	639
9135	7919	6792	7288	8905	8783	7231	6873	8660	6562	5084
3149	6379	5312	6118	3777	3198	1781	1758	1999	1964	1366
23279	1902	1623	1899	2961	2799	3957	4055	5168	4478	3277
578	1961	1544	1696	2073	2051	3826	3393	4471	3767	2927
4593	9	6	5	46	33	3	8	7	28	10
22807	330	248	278	308	290	346	367	491	592	458
2896	7227	5532	7286	3055	2634	6456	5303	6196	3625	2150
51306	3002	2665	2883	4079	4026	1914	1839	2538	3719	3047
